,,,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,INFECTED_SYMPTOMS_SEVERE_QUEUE,CURED,DEAD
0,Age_0_9,HEALTHY,1779863,536,0,0,0,0,0,0,0
0,Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1423,136,0,0,0,0,52,0
0,Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,273,66,0,0,0,62,0
0,Age_0_9,INFECTED_SYMPTOMS_MILD,0,0,0,250,0,0,0,22,0
0,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_0_9,CURED,0,0,0,0,0,0,0,821,0
0,Age_0_9,DEAD,0,0,0,0,0,0,0,0,0
0,Age_10_19,HEALTHY,2004386,435,0,0,0,0,0,0,0
0,Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1616,162,0,0,0,0,47,0
0,Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,304,81,0,0,0,69,0
0,Age_10_19,INFECTED_SYMPTOMS_MILD,0,0,0,272,0,0,0,35,0
0,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_10_19,CURED,0,0,0,0,0,0,0,927,0
0,Age_10_19,DEAD,0,0,0,0,0,0,0,0,0
0,Age_20_29,HEALTHY,2197468,478,0,0,0,0,0,0,0
0,Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1764,166,0,0,0,0,69,0
0,Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,340,82,0,0,0,76,0
0,Age_20_29,INFECTED_SYMPTOMS_MILD,0,0,0,303,0,0,0,28,0
0,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_20_29,CURED,0,0,0,0,0,0,0,1014,0
0,Age_20_29,DEAD,0,0,0,0,0,0,0,0,0
0,Age_30_39,HEALTHY,2104017,485,0,0,0,0,0,0,0
0,Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1683,162,0,0,0,0,67,0
0,Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,324,80,0,0,0,80,0
0,Age_30_39,INFECTED_SYMPTOMS_MILD,0,0,0,297,0,0,0,28,0
0,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_30_39,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_30_39,CURED,0,0,0,0,0,0,0,976,0
0,Age_30_39,DEAD,0,0,0,0,0,0,0,0,0
0,Age_40_49,HEALTHY,2256640,516,0,0,0,0,0,0,0
0,Age_40_49,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1813,183,0,0,0,0,56,0
0,Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,342,88,0,0,0,85,0
0,Age_40_49,INFECTED_SYMPTOMS_MILD,0,0,0,316,0,0,0,23,0
0,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_40_49,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_40_49,CURED,0,0,0,0,0,0,0,1045,0
0,Age_40_49,DEAD,0,0,0,0,0,0,0,0,0
0,Age_50_59,HEALTHY,2503493,520,0,0,0,0,0,0,0
0,Age_50_59,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,2015,190,0,0,0,0,67,0
0,Age_50_59,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,387,84,0,0,0,98,0
0,Age_50_59,INFECTED_SYMPTOMS_MILD,0,0,0,356,0,0,0,27,0
0,Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_50_59,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_50_59,CURED,0,0,0,0,0,0,0,1151,0
0,Age_50_59,DEAD,0,0,0,0,0,0,0,0,0
0,Age_60_69,HEALTHY,2085997,272,0,0,0,0,0,0,0
0,Age_60_69,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1672,157,0,0,0,0,61,0
0,Age_60_69,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,317,85,0,0,0,73,0
0,Age_60_69,INFECTED_SYMPTOMS_MILD,0,0,0,296,1,0,0,24,0
0,Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_60_69,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_60_69,CURED,0,0,0,0,0,0,0,958,0
0,Age_60_69,DEAD,0,0,0,0,0,0,0,0,0
0,Age_70_79,HEALTHY,1519327,136,0,0,0,0,0,0,0
0,Age_70_79,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1212,138,0,0,0,0,31,0
0,Age_70_79,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,234,49,0,0,0,56,0
0,Age_70_79,INFECTED_SYMPTOMS_MILD,0,0,0,209,0,0,0,18,0
0,Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_70_79,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_70_79,CURED,0,0,0,0,0,0,0,700,0
0,Age_70_79,DEAD,0,0,0,0,0,0,0,0,0
0,Age_80_150,HEALTHY,797372,74,0,0,0,0,0,0,0
0,Age_80_150,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,648,55,0,0,0,0,20,0
0,Age_80_150,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,124,21,0,0,0,31,0
0,Age_80_150,INFECTED_SYMPTOMS_MILD,0,0,0,109,0,1,0,8,0
0,Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_80_150,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_80_150,CURED,0,0,0,0,0,0,0,357,0
0,Age_80_150,DEAD,0,0,0,0,0,0,0,0,0
1,Age_0_9,HEALTHY,1779304,559,0,0,0,0,0,0,0
1,Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1741,154,0,0,0,0,64,0
1,Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,281,61,0,0,0,67,0
1,Age_0_9,INFECTED_SYMPTOMS_MILD,0,0,0,293,0,0,0,23,0
1,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
1,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
1,Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
1,Age_0_9,CURED,0,0,0,0,0,0,0,957,0
1,Age_0_9,DEAD,0,0,0,0,0,0,0,0,0
1,Age_10_19,HEALTHY,2003961,425,0,0,0,0,0,0,0
1,Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1829,147,0,0,0,0,75,0
1,Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,313,77,0,0,0,76,0
1,Age_10_19,INFECTED_SYMPTOMS_MILD,0,0,0,334,0,0,0,19,0
1,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
1,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
1,Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
1,Age_10_19,CURED,0,0,0,0,0,0,0,1078,0
1,Age_10_19,DEAD,0,0,0,0,0,0,0,0,0
1,Age_20_29,HEALTHY,2196934,534,0,0,0,0,0,0,0
1,Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,2001,178,0,0,0,0,63,0
1,Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,341,81,0,0,0,84,0
1,Age_20_29,INFECTED_SYMPTOMS_MILD,0,0,0,367,0,0,0,18,0
1,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
1,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
1,Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
