OHHH,stage,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,INFECTED_SYMPTOMS_SEVERE_QUEUE,CURED,DEAD
Age_0_9,HEALTHY,0,0,0,0,0,0,0,0,0
Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.025992997,0.88257545,0.091431553,0,0,0,0,0,0
Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.012254403,0,0.666660307,0.32108529,0,0,0,0,0
Age_0_9,INFECTED_SYMPTOMS_MILD,0.05233001699999999,0,0,0.930226453,1.91E-07,0,0,0.017443339,0
Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752803,0,0,0.044104213,0.000142985
Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.899999955,0,0.0001537,0.099846344
Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.899999955,0.0001537,0.099846344
Age_0_9,CURED,0,0,0,0,0,0,0,1,0
Age_0_9,DEAD,0,0,0,0,0,0,0,0,1
Age_10_19,HEALTHY,0,0,0,0,0,0,0,0,0
Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.025993231,0.882574567,0.091432202,0,0,0,0,0,0
Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.012265418,0,0.666662016,0.321072566,0,0,0,0,0
Age_10_19,INFECTED_SYMPTOMS_MILD,0.052221213,0,0,0.930226339,4.76E-06,0.000140615,0,0.017407071,0
Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752624,0,0,0.042973189,0.001274187
Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.89999988,0,0.000152524,0.099847596
Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.89999988,0.000152524,0.099847596
Age_10_19,CURED,0,0,0,0,0,0,0,1,0
Age_10_19,DEAD,0,0,0,0,0,0,0,0,1
Age_20_29,HEALTHY,0,0,0,0,0,0,0,0,0
Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.025973293,0.882572526,0.091454181,0,0,0,0,0,0
Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.012332487,0,0.666670952,0.320996561,0,0,0,0,0
Age_20_29,INFECTED_SYMPTOMS_MILD,0.05221864425,0,0,0.930226357,1.03E-05,0.000138474,0,0.01740621475,0
Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752459,0,0,0.040710383,0.003537158
Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.899999945,0,0.000169352,0.099830703
Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.899999945,0.000169352,0.099830703
Age_20_29,CURED,0,0,0,0,0,0,0,1,0
Age_20_29,DEAD,0,0,0,0,0,0,0,0,1
Age_30_39,HEALTHY,0,0,0,0,0,0,0,0,0
Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.025974823,0.882573076,0.091452101,0,0,0,0,0,0
Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.012330867,0,0.666671369,0.320997764,0,0,0,0,0
Age_30_39,INFECTED_SYMPTOMS_MILD,0.05220621375000001,0,0,0.930226409,3.03E-05,0.000135008,0,0.01740207125,0
Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752313,0,0,0.037315929,0.006931758
Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.900000045,0,0.000186011,0.099813943
Age_30_39,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.900000045,0.000186011,0.099813943
Age_30_39,CURED,0,0,0,0,0,0,0,1,0
Age_30_39,DEAD,0,0,0,0,0,0,0,0,1
Age_40_49,HEALTHY,0,0,0,0,0,0,0,0,0
Age_40_49,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.025982933,0.882573652,0.091443416,0,0,0,0,0,0
Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.012300142,0,0.666667268,0.32103259,0,0,0,0,0
Age_40_49,INFECTED_SYMPTOMS_MILD,0.052076489999999996,0,0,0.930226392,7.83E-05,0.000260033,0,0.01735883,0
Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752215,0,0,0.032789755,0.011458031
Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.900000277,0,0.000239015,0.099760708
Age_40_49,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.900000277,0.000239015,0.099760708
Age_40_49,CURED,0,0,0,0,0,0,0,1,0
Age_40_49,DEAD,0,0,0,0,0,0,0,0,1
Age_50_59,HEALTHY,0,0,0,0,0,0,0,0,0
Age_50_59,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.025981493,0.882573346,0.09144516,0,0,0,0,0,0
Age_50_59,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.012296948,0,0.666669731,0.321033321,0,0,0,0,0
Age_50_59,INFECTED_SYMPTOMS_MILD,0.051563030999999995,0,0,0.930226315,0.000187147,0.00083583,0,0.017187677,0
