Corop,Agegroup,Stage,NumberInfected
Achterhoek,Age_0_9,HEALTHY,0
Achterhoek,Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,46
Achterhoek,Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,7
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_MILD,6
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_0_9,CURED,0
Achterhoek,Age_0_9,DEAD,0
Achterhoek,Age_10_19,HEALTHY,0
Achterhoek,Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,52
Achterhoek,Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,8
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_MILD,6
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_10_19,CURED,0
Achterhoek,Age_10_19,DEAD,0
Achterhoek,Age_20_29,HEALTHY,0
Achterhoek,Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,57
Achterhoek,Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,8
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_20_29,CURED,0
Achterhoek,Age_20_29,DEAD,0
Achterhoek,Age_30_39,HEALTHY,0
Achterhoek,Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,54
Achterhoek,Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,8
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_30_39,CURED,0
Achterhoek,Age_30_39,DEAD,0
Achterhoek,Age_40_49,HEALTHY,0
Achterhoek,Age_40_49,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,58
Achterhoek,Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,9
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_40_49,CURED,0
Achterhoek,Age_40_49,DEAD,0
Achterhoek,Age_50_59,HEALTHY,0
Achterhoek,Age_50_59,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,65
Achterhoek,Age_50_59,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,9
Achterhoek,Age_50_59,INFECTED_SYMPTOMS_MILD,8
Achterhoek,Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_50_59,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_50_59,CURED,0
Achterhoek,Age_50_59,DEAD,0
Achterhoek,Age_60_69,HEALTHY,0
Achterhoek,Age_60_69,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,54
Achterhoek,Age_60_69,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,8
Achterhoek,Age_60_69,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_60_69,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_60_69,CURED,0
Achterhoek,Age_60_69,DEAD,0
Achterhoek,Age_70_79,HEALTHY,0
Achterhoek,Age_70_79,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,39
Achterhoek,Age_70_79,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,6
Achterhoek,Age_70_79,INFECTED_SYMPTOMS_MILD,5
Achterhoek,Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_70_79,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_70_79,CURED,0
Achterhoek,Age_70_79,DEAD,0
Achterhoek,Age_80_150,HEALTHY,0
Achterhoek,Age_80_150,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,21
Achterhoek,Age_80_150,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,3
Achterhoek,Age_80_150,INFECTED_SYMPTOMS_MILD,2
Achterhoek,Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_80_150,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_80_150,CURED,0
Achterhoek,Age_80_150,DEAD,0
AgglomeratieHaarlem,Age_0_9,HEALTHY,0
AgglomeratieHaarlem,Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,28
AgglomeratieHaarlem,Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,4
AgglomeratieHaarlem,Age_0_9,INFECTED_SYMPTOMS_MILD,3
AgglomeratieHaarlem,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
AgglomeratieHaarlem,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
AgglomeratieHaarlem,Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
AgglomeratieHaarlem,Age_0_9,CURED,0
AgglomeratieHaarlem,Age_0_9,DEAD,0
AgglomeratieHaarlem,Age_10_19,HEALTHY,0
AgglomeratieHaarlem,Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,32
AgglomeratieHaarlem,Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,5
AgglomeratieHaarlem,Age_10_19,INFECTED_SYMPTOMS_MILD,4
AgglomeratieHaarlem,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
AgglomeratieHaarlem,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
AgglomeratieHaarlem,Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
AgglomeratieHaarlem,Age_10_19,CURED,0
AgglomeratieHaarlem,Age_10_19,DEAD,0
AgglomeratieHaarlem,Age_20_29,HEALTHY,0
AgglomeratieHaarlem,Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,35
AgglomeratieHaarlem,Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,5
AgglomeratieHaarlem,Age_20_29,INFECTED_SYMPTOMS_MILD,4
