Corop,Agegroup,Stage,NumberInfected
Achterhoek,Age_0_9,HEALTHY,3
Achterhoek,Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,37
Achterhoek,Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,8
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_MILD,6
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_0_9,CURED,2
Achterhoek,Age_0_9,DEAD,0
Achterhoek,Age_10_19,HEALTHY,3
Achterhoek,Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,42
Achterhoek,Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,9
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_10_19,CURED,2
Achterhoek,Age_10_19,DEAD,0
Achterhoek,Age_20_29,HEALTHY,3
Achterhoek,Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,46
Achterhoek,Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,10
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_MILD,8
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_20_29,CURED,2
Achterhoek,Age_20_29,DEAD,0
Achterhoek,Age_30_39,HEALTHY,3
Achterhoek,Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,44
Achterhoek,Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,10
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
