Corop,Agegroup,Stage,NumberInfected
Achterhoek,Age_0_9,HEALTHY,1
Achterhoek,Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,22
Achterhoek,Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,7
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_MILD,6
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_0_9,CURED,0
Achterhoek,Age_0_9,DEAD,0
Achterhoek,Age_10_19,HEALTHY,1
Achterhoek,Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,25
Achterhoek,Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,8
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_10_19,CURED,0
Achterhoek,Age_10_19,DEAD,0
Achterhoek,Age_20_29,HEALTHY,2
Achterhoek,Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,28
Achterhoek,Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,8
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_MILD,8
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_20_29,CURED,1
Achterhoek,Age_20_29,DEAD,0
Achterhoek,Age_30_39,HEALTHY,1
Achterhoek,Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,27
Achterhoek,Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,8
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_30_39,CURED,1
Achterhoek,Age_30_39,DEAD,0
Achterhoek,Age_40_49,HEALTHY,2
Achterhoek,Age_40_49,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,28
Achterhoek,Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,8
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_MILD,8
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_40_49,CURED,1
Achterhoek,Age_40_49,DEAD,0
Achterhoek,Age_50_59,HEALTHY,2
Achterhoek,Age_50_59,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,32
Achterhoek,Age_50_59,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,9
Achterhoek,Age_50_59,INFECTED_SYMPTOMS_MILD,9
Achterhoek,Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_50_59,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_50_59,CURED,1
Achterhoek,Age_50_59,DEAD,0
Achterhoek,Age_60_69,HEALTHY,1
Achterhoek,Age_60_69,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,26
Achterhoek,Age_60_69,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,8
Achterhoek,Age_60_69,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_60_69,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_60_69,CURED,1
Achterhoek,Age_60_69,DEAD,0
Achterhoek,Age_70_79,HEALTHY,1
Achterhoek,Age_70_79,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,19
Achterhoek,Age_70_79,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,6
Achterhoek,Age_70_79,INFECTED_SYMPTOMS_MILD,5
Achterhoek,Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_70_79,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_70_79,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_70_79,CURED,0
Achterhoek,Age_70_79,DEAD,0
Achterhoek,Age_80_150,HEALTHY,1
Achterhoek,Age_80_150,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,10
Achterhoek,Age_80_150,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,3
Achterhoek,Age_80_150,INFECTED_SYMPTOMS_MILD,3
Achterhoek,Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_80_150,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_80_150,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_80_150,CURED,0
Achterhoek,Age_80_150,DEAD,0
AgglomeratieHaarlem,Age_0_9,HEALTHY,1
AgglomeratieHaarlem,Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,14
AgglomeratieHaarlem,Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,4
AgglomeratieHaarlem,Age_0_9,INFECTED_SYMPTOMS_MILD,4
AgglomeratieHaarlem,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
AgglomeratieHaarlem,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
AgglomeratieHaarlem,Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
AgglomeratieHaarlem,Age_0_9,CURED,0
AgglomeratieHaarlem,Age_0_9,DEAD,0
AgglomeratieHaarlem,Age_10_19,HEALTHY,1
AgglomeratieHaarlem,Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,15
AgglomeratieHaarlem,Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,5
AgglomeratieHaarlem,Age_10_19,INFECTED_SYMPTOMS_MILD,4
AgglomeratieHaarlem,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
AgglomeratieHaarlem,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
AgglomeratieHaarlem,Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
AgglomeratieHaarlem,Age_10_19,CURED,0
AgglomeratieHaarlem,Age_10_19,DEAD,0
AgglomeratieHaarlem,Age_20_29,HEALTHY,1
AgglomeratieHaarlem,Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,17
AgglomeratieHaarlem,Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,5
AgglomeratieHaarlem,Age_20_29,INFECTED_SYMPTOMS_MILD,5
AgglomeratieHaarlem,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
AgglomeratieHaarlem,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
AgglomeratieHaarlem,Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
AgglomeratieHaarlem,Age_20_29,CURED,0
AgglomeratieHaarlem,Age_20_29,DEAD,0
AgglomeratieHaarlem,Age_30_39,HEALTHY,1
AgglomeratieHaarlem,Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,16
AgglomeratieHaarlem,Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,5
AgglomeratieHaarlem,Age_30_39,INFECTED_SYMPTOMS_MILD,4
AgglomeratieHaarlem,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
AgglomeratieHaarlem,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
AgglomeratieHaarlem,Age_30_39,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
AgglomeratieHaarlem,Age_30_39,CURED,0
AgglomeratieHaarlem,Age_30_39,DEAD,0
AgglomeratieHaarlem,Age_40_49,HEALTHY,1
AgglomeratieHaarlem,Age_40_49,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,17
AgglomeratieHaarlem,Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,5
AgglomeratieHaarlem,Age_40_49,INFECTED_SYMPTOMS_MILD,5
AgglomeratieHaarlem,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
AgglomeratieHaarlem,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
AgglomeratieHaarlem,Age_40_49,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
AgglomeratieHaarlem,Age_40_49,CURED,0
AgglomeratieHaarlem,Age_40_49,DEAD,0
AgglomeratieHaarlem,Age_50_59,HEALTHY,1
AgglomeratieHaarlem,Age_50_59,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,19
AgglomeratieHaarlem,Age_50_59,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,6
AgglomeratieHaarlem,Age_50_59,INFECTED_SYMPTOMS_MILD,5
AgglomeratieHaarlem,Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
AgglomeratieHaarlem,Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
AgglomeratieHaarlem,Age_50_59,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
AgglomeratieHaarlem,Age_50_59,CURED,0
AgglomeratieHaarlem,Age_50_59,DEAD,0
AgglomeratieHaarlem,Age_60_69,HEALTHY,1
AgglomeratieHaarlem,Age_60_69,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,16
AgglomeratieHaarlem,Age_60_69,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,5
AgglomeratieHaarlem,Age_60_69,INFECTED_SYMPTOMS_MILD,4
AgglomeratieHaarlem,Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
