Corop,Agegroup,Stage,NumberInfected
Achterhoek,Age_0_9,HEALTHY,0
Achterhoek,Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,48
Achterhoek,Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,12
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_MILD,8
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_0_9,CURED,24
Achterhoek,Age_0_9,DEAD,0
Achterhoek,Age_10_19,HEALTHY,0
Achterhoek,Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,54
Achterhoek,Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,13
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_MILD,9
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_10_19,CURED,27
Achterhoek,Age_10_19,DEAD,0
Achterhoek,Age_20_29,HEALTHY,0
Achterhoek,Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,59
Achterhoek,Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,15
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_MILD,10
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_20_29,CURED,30
Achterhoek,Age_20_29,DEAD,0
Achterhoek,Age_30_39,HEALTHY,0
Achterhoek,Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,56
Achterhoek,Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,14
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_MILD,10
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_30_39,CURED,29
Achterhoek,Age_30_39,DEAD,0
Achterhoek,Age_40_49,HEALTHY,0
Achterhoek,Age_40_49,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,61
Achterhoek,Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,15
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_MILD,10
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_40_49,CURED,31
Achterhoek,Age_40_49,DEAD,0
