Corop,Agegroup,Stage,NumberInfected
Achterhoek,Age_0_9,HEALTHY,0
Achterhoek,Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,19
Achterhoek,Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,5
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_MILD,6
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_0_9,CURED,0
Achterhoek,Age_0_9,DEAD,0
Achterhoek,Age_10_19,HEALTHY,0
Achterhoek,Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,21
Achterhoek,Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,6
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_10_19,CURED,0
Achterhoek,Age_10_19,DEAD,0
Achterhoek,Age_20_29,HEALTHY,0
Achterhoek,Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,23
Achterhoek,Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,6
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_MILD,8
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_20_29,CURED,0
Achterhoek,Age_20_29,DEAD,0
Achterhoek,Age_30_39,HEALTHY,0
Achterhoek,Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,22
Achterhoek,Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,6
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_MILD,7
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
Achterhoek,Age_30_39,INFECTED_SYMPTOMS_SEVERE_QUEUE,0
Achterhoek,Age_30_39,CURED,0
Achterhoek,Age_30_39,DEAD,0
Achterhoek,Age_40_49,HEALTHY,0
Achterhoek,Age_40_49,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,24
Achterhoek,Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,6
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_MILD,8
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0
Achterhoek,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0
